key_bits,rounds,size_mb,bytes,repetition,plaintext_sha256,encryption_s,decryption_s,encryption_mb_s,decryption_mb_s,roundtrip_ok,ciphertext_sha256,recovered_sha256
128,10,1.0,1000000,1,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.13358100300001752,0.15113942000004954,7.486094411193101,6.616407552706449,True,a39e0aecc8fef79055f5f1c107e990ce3bfa4132b1396a2d2274fd4d001bcbc4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
192,12,1.0,1000000,1,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.17369135800004187,0.17253103699999883,5.757338830868942,5.796058595532622,True,d4816bcadc89605f48ec818d71cef37325e2f2128619ea7bc0cded7209b92be4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
256,14,1.0,1000000,1,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.18643300099995486,0.19005720200004816,5.36385722826101,5.261573828703143,True,a68c5cc21037a7199c54c79fad6fded8520d4e5a04d3d3d3296f833e830365ef,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
192,12,1.0,1000000,2,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.15831929099999797,0.1740403939999169,6.316349660762521,5.7457925543450425,True,d4816bcadc89605f48ec818d71cef37325e2f2128619ea7bc0cded7209b92be4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
256,14,1.0,1000000,2,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.1799912010000071,0.2030642860000853,5.555827142905506,4.924548869216618,True,a68c5cc21037a7199c54c79fad6fded8520d4e5a04d3d3d3296f833e830365ef,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
128,10,1.0,1000000,2,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.13033815599999343,0.14171368200004508,7.672350374513894,7.056481674081984,True,a39e0aecc8fef79055f5f1c107e990ce3bfa4132b1396a2d2274fd4d001bcbc4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
256,14,1.0,1000000,3,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.1794797769999832,0.20140869899989866,5.571658360151036,4.965028844163792,True,a68c5cc21037a7199c54c79fad6fded8520d4e5a04d3d3d3296f833e830365ef,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
128,10,1.0,1000000,3,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.14264083099999425,0.15893437199997607,7.010615354589741,6.291905189647401,True,a39e0aecc8fef79055f5f1c107e990ce3bfa4132b1396a2d2274fd4d001bcbc4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
192,12,1.0,1000000,3,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8,0.15992230599999857,0.16884230400000888,6.25303639631115,5.922686295491131,True,d4816bcadc89605f48ec818d71cef37325e2f2128619ea7bc0cded7209b92be4,402ff50f292e8bf68cb054e9c4a071aeaa2022f826521244a3b04b7682f101c8
128,10,10.0,10000000,1,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.4084899959999575,1.4739132899999277,7.099801935689646,6.78465963218263,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
192,12,10.0,10000000,1,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.6350312700000131,1.7209953270000824,6.116090978492369,5.8105910243413,True,75c5eb14ee8dd4849013cf0b40cbe40f6225e31cfe871269682d0670bdd97a58,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
256,14,10.0,10000000,1,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.8644432899999401,1.933600470999977,5.363531330577676,5.171699195350537,True,69e1ba7c6d63e5c5a08bd7260cefb3fc20f9ad3bd14461818a9a829a010729c3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
192,12,10.0,10000000,2,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.6080701419999741,1.7269780450000098,6.2186342117905955,5.790461568954076,True,75c5eb14ee8dd4849013cf0b40cbe40f6225e31cfe871269682d0670bdd97a58,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
256,14,10.0,10000000,2,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.79940792900004,1.9461142269999527,5.557383536459774,5.138444527696391,True,69e1ba7c6d63e5c5a08bd7260cefb3fc20f9ad3bd14461818a9a829a010729c3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
128,10,10.0,10000000,2,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.346477187000005,1.4315592030000062,7.426787543486218,6.985390460306347,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
256,14,10.0,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.8014234909999232,1.9669357399999399,5.551165536566452,5.084050178477262,True,69e1ba7c6d63e5c5a08bd7260cefb3fc20f9ad3bd14461818a9a829a010729c3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
